"","flow","speed"
"1",499.995408,64.6
"2",363.633024,62.9
"3",386.360088,62.9
"4",318.178896,61.1
"5",159.089448,64
"6",420.450684,63.4
"7",363.633024,58.8
"8",352.269492,57
"9",579.540132,60.9
"10",374.996556,60.9
"11",363.633024,57.2
"12",352.269492,58.6
"13",363.633024,64.2
"14",602.267196,60.7
"15",511.35894,62.3
"16",374.996556,60.9
"17",727.266048,64.6
"18",249.997704,62.8
"19",522.722472,60.7
"20",352.269492,62.1
"21",477.268344,61.6
"22",204.543576,62.4
"23",306.815364,59.1
"24",477.268344,62.8
"25",499.995408,63.8
"26",613.630728,59.9
"27",488.631876,61.5
"28",363.633024,58.7
"29",420.450684,58.8
"30",772.720176,61.4
"31",590.903664,62.1
"32",420.450684,62.6
"33",624.99426,62.6
"34",670.448388,63.6
"35",715.902516,60.7
"36",920.446093,58.8
"37",477.268344,65
"38",465.904812,62.5
"39",318.178896,61.4
"40",897.719029,60.7
"41",579.540132,61.6
"42",386.360088,62.1
"43",749.993112,64.3
"44",613.630728,57.9
"45",670.448388,59.4
"46",624.99426,62.1
"47",681.81192,63.5
"48",806.810772,61.4
"49",568.1766,60.3
"50",829.537836,57.8
"51",761.356644,64.2
"52",522.722472,62.9
"53",818.174304,63
"54",852.264901,61.1
"55",681.81192,63.2
"56",715.902516,64.3
"57",920.446093,63.2
"58",784.083708,62.4
"59",749.993112,63.4
"60",738.62958,58.7
"61",738.62958,58.9
"62",749.993112,59.5
"63",602.267196,61.2
"64",897.719029,63.1
"65",909.082561,63.9
"66",738.62958,63.9
"67",749.993112,64.1
"68",681.81192,60.8
"69",909.082561,60.6
"70",749.993112,61.6
"71",943.173157,63.4
"72",840.901368,62.4
"73",681.81192,62
"74",988.627285,64.2
"75",568.1766,61.9
"76",931.809625,61.4
"77",931.809625,62
"78",772.720176,64
"79",840.901368,62.8
"80",886.355497,59.8
"81",1034.081413,60.7
"82",818.174304,61
"83",840.901368,59.5
"84",852.264901,63.2
"85",886.355497,62.8
"86",749.993112,66.2
"87",999.990817,63.4
"88",1272.715585,57
"89",806.810772,61
"90",772.720176,63.3
"91",954.536689,60.5
"92",840.901368,62.2
"93",1045.444945,60.4
"94",1011.354349,58.8
"95",704.538984,62.3
"96",761.356644,61.5
"97",829.537836,57.9
"98",988.627285,62.8
"99",1147.716733,60.7
"100",999.990817,60.1
"101",1022.717881,61.1
"102",931.809625,62.6
"103",1068.172009,63.1
"104",534.086004,63.2
"105",1136.353201,61.2
"106",1170.443797,60
"107",818.174304,59.9
"108",954.536689,62.8
"109",1124.989669,62.3
"110",806.810772,63.6
"111",931.809625,61.4
"112",840.901368,58.7
"113",840.901368,62.3
"114",1045.444945,57.1
"115",784.083708,64
"116",886.355497,61.6
"117",704.538984,59.2
"118",1147.716733,60.7
"119",943.173157,61.3
"120",965.900221,51.6
"121",1204.534393,61.6
"122",1011.354349,61
"123",829.537836,61.1
"124",1272.715585,59.2
"125",829.537836,61.6
"126",1056.808477,58.8
"127",670.448388,59.4
"128",1045.444945,60.1
"129",965.900221,60.1
"130",965.900221,57.5
"131",1068.172009,62
"132",1386.350905,59.3
"133",806.810772,61.5
"134",1113.626137,59
"135",1420.441501,53.8
"136",988.627285,60
"137",806.810772,60.5
"138",1068.172009,62.2
"139",1318.169713,62.2
"140",1238.624989,60.2
"141",1090.899073,61.4
"142",1204.534393,61.3
"143",965.900221,60.7
"144",1147.716733,60.3
"145",1170.443797,60.8
